S.no; Stock Id;Image; Brand; Rating; Number of ratings; Description; features; Price; Offers; Shipping Price;
11;stock_9SIAPMXDDW5718;https://c1.neweggimages.com/ProductImageCompressAll300/14-932-004-Z01.jpg;GIGABYTE;Rating + 4;60;GIGABYTE GeForce GT 1030 DirectX 12 GV-N1030OC-2GI 2GB 64-Bit GDDR5 PCI Express 3.0 x16 Video Card;['Core Clock: 1290 MHz in OC Mode\n1265 MHz in Gaming Mode', 'Max Resolution: 4096 x 2160', 'DVI: 1 x DVI-D', 'HDMI: 1 x HDMI 2.0b', 'Model #: GV-N1030OC-2GI', 'Return Policy: View Return Policy'];$124.99;3 Offers–;Free Shipping
12;stock_9SIAPMXD033568;https://c1.neweggimages.com/ProductImageCompressAll300/14-137-475-01.jpg;MSI;Rating + 5;248;MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER VENTUS XS OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card;['Max Resolution: 7680 x 4320', 'DisplayPort: 3 x DisplayPort 1.4', 'HDMI: 1 x HDMI 2.0b', 'Card Dimensions (L x H): 8.03" x 5.04"', 'Model #: 1660SuperVentusXSOC', 'Return Policy: View Return Policy'];$567.99;3 Offers–;Free Shipping
13;stock_9SIAPMXD3H9177;https://c1.neweggimages.com/ProductImageCompressAll300/14-137-379-V22.jpg;MSI;Rating + 5;204;MSI GeForce RTX 2060 DirectX 12 RTX 2060 GAMING Z 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card;['Max Resolution: 7680 x 4320', 'DisplayPort: 3 x DisplayPort 1.4', 'HDMI: 1 x HDMI 2.0b', 'Card Dimensions (L x H): 9.72" x 5.08"', 'Model #: RTX 2060 GAMING Z 6G', 'Return Policy: View Return Policy'];$691.99;4 Offers–;Free Shipping
14;stock_9SIAEUY9J23938;https://c1.neweggimages.com/ProductImageCompressAll300/14-126-170-V01.jpg;ASUS;Rating + 4;90;ASUS GeForce GTX 1050 Ti 4GB PHOENIX Fan Edition DVI-D HDMI DP 1.4 Gaming Graphics Card (PH-GTX1050Ti-4G);['Core Clock: 1290 MHz', 'Max Resolution: 7680 x 4320', 'DisplayPort: 1 x Native DisplayPort 1.4', 'DVI: 1 x Native DVI-D', 'Model #: PH-GTX1050TI-4G', 'Return Policy: View Return Policy'];$220.00;4 Offers–;Free Shipping
15;stock_9SIAPMXDCB7516;https://c1.neweggimages.com/ProductImageCompressAll300/14-126-358-V01.jpg;ASUS;Rating + 5;70;ASUS TUF Gaming GeForce GTX 1650 SUPER Overclocked 4GB Edition HDMI DP DVI Gaming Graphics Card (TUF-GTX1650S-O4G-GAMING);['Core Clock: 1530 MHz', 'Max Resolution: 7680 x 4320', 'DisplayPort: 1 x DisplayPort 1.4', 'DVI: 1 x DVI-D', 'Model #: TUF-GTX1650S-O4G-GAM', 'Return Policy: View Return Policy'];$419.99;3 Offers–;Free Shipping
16;stock_9SIAPBUD7P6050;https://c1.neweggimages.com/ProductImageCompressAll300/14-932-295-V01.jpg;GIGABYTE;Rating + 5;143;GIGABYTE GeForce GTX 1660 SUPER DirectX 12 GV-N166SGAMING-6GD 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card;['Core Clock: 1785 MHz', 'Max Resolution: 7680 x 4320 @ 60 Hz', 'DisplayPort: 3 x DisplayPort 1.4', 'HDMI: 1 x HDMI 2.0b', 'Model #: GV-N166SGAMING-6GD', 'Return Policy: View Return Policy'];$599.99;3 Offers–;Free Shipping
17;stock_9SIAPMXD909129;https://c1.neweggimages.com/ProductImageCompressAll300/14-932-131-V13.jpg;GIGABYTE;Rating + 4;97;GIGABYTE GeForce GTX 1660 Ti OC 6G Graphics Card, 2 x WINDFORCE Fans, 6GB 192-Bit GDDR6, GV-N166TOC-6GD Video Card;['Core Clock: 1800 MHz', 'Max Resolution: 7680x4320@60Hz', 'DisplayPort: 3 x DisplayPort 1.4', 'HDMI: 1 x HDMI 2.0b', 'Model #: GV-N166TOC-6GD', 'Return Policy: View Return Policy'];$569.99;7 Offers–;Free Shipping
18;stock_9SIAPMXCMJ4319;https://c1.neweggimages.com/ProductImageCompressAll300/14-126-263-V50.jpg;ASUS;Rating + 4;124;ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-O11G-GAMING 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card;['Core Clock: 1350 MHz', 'Max Resolution: 7680 x 4320', 'DisplayPort: 2 x DisplayPort 1.4', 'HDMI: 2 x HDMI 2.0b', 'Model #: ROGSTRIXRTX2080TIO11', 'Return Policy: View Return Policy'];$1,789.99;4 Offers–;Free Shipping
19;stock_9SIAPMXD3J0818;https://c1.neweggimages.com/ProductImageCompressAll300/14-137-400-Z01.jpg;MSI;Rating + 4;144;MSI GeForce GTX 1660 DirectX 12 GTX 1660 VENTUS XS 6G OC 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card;['Max Resolution: 7680 x 4320', 'DisplayPort: 3 x DisplayPort 1.4', 'HDMI: 1 x HDMI 2.0b', 'Card Dimensions (L x H): 8.03" x 5.04"', 'Model #: 1660 VENTUS XS 6G OC', 'Return Policy: View Return Policy'];$509.99;3 Offers–;Free Shipping
20;stock_9SIAPBUCUA7072;https://c1.neweggimages.com/ProductImageCompressAll300/14-932-157-01.jpg;GIGABYTE;Rating + 4;28;GIGABYTE GeForce RTX 2060 DirectX 12 GV-N2060WF2OC-6GD R2 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card;['Max Resolution: 7680 x 4320 @ 60 Hz', 'DisplayPort: 3 x DisplayPort 1.4', 'HDMI: 1 x HDMI 2.0b', 'Card Dimensions (L x H): 10.43" x 4.75"', 'Model #: GV-N2060WF2OC-6GD R2', 'Return Policy: View Return Policy'];$639.99;3 Offers–;$99.99 Shipping
